llm,use_case,raw_count,kept_count,final_unique_count
cohere/north-mini-code:free,job_application,8,7,7
meta/llama-3.1-8b-instruct,job_application,8,6,6
meta/llama-3.3-70b-instruct,job_application,6,5,5
mistralai/mistral-nemotron,job_application,7,6,6
nvidia/llama-3.3-nemotron-super-49b-v1.5,job_application,7,6,6
nvidia/nemotron-3-nano-30b-a3b,job_application,8,8,8
nvidia/nemotron-3-super-120b-a12b,job_application,9,9,9
openai/gpt-oss-120b,job_application,7,6,6
openai/gpt-oss-20b,job_application,7,6,6
qwen/qwen3.6-27b,job_application,6,6,6
