llm,use_case,final_entity_count,total_final_states
cohere/north-mini-code:free,job_application,7,9
meta/llama-3.1-8b-instruct,job_application,6,6
meta/llama-3.3-70b-instruct,job_application,5,8
mistralai/mistral-nemotron,job_application,6,8
nvidia/llama-3.3-nemotron-super-49b-v1.5,job_application,6,10
nvidia/nemotron-3-nano-30b-a3b,job_application,8,12
nvidia/nemotron-3-super-120b-a12b,job_application,9,18
openai/gpt-oss-120b,job_application,6,11
openai/gpt-oss-20b,job_application,6,7
qwen/qwen3.6-27b,job_application,6,10
