case,correctness_mean,correctness_min,correctness_max,correctness_range,completeness_mean,completeness_min,completeness_max,completeness_range,relevance_mean,relevance_min,relevance_max,relevance_range
OriginalDataset/BicycleManufacturing,0.645,0.6,0.692,0.092,0.474,0.474,0.474,0.0,1.0,1.0,1.0,0.0
OriginalDataset/ClaimsCreation,0.578,0.455,0.778,0.323,0.436,0.385,0.538,0.153,1.0,1.0,1.0,0.0
OriginalDataset/Dispatch-of-goods,0.905,0.857,1.0,0.143,0.528,0.5,0.583,0.083,1.0,1.0,1.0,0.0
OriginalDataset/Hospital,0.694,0.581,0.81,0.229,0.505,0.486,0.514,0.028,1.0,1.0,1.0,0.0
OriginalDataset/HotelService,0.619,0.524,0.667,0.143,0.541,0.458,0.583,0.125,1.0,1.0,1.0,0.0
OriginalDataset/Hotel,0.551,0.5,0.652,0.152,0.5,0.462,0.577,0.115,1.0,1.0,1.0,0.0
OriginalDataset/Model1-2,0.876,0.818,0.909,0.091,0.491,0.474,0.526,0.052,1.0,1.0,1.0,0.0
OriginalDataset/Model1-4,0.381,0.286,0.5,0.214,0.263,0.211,0.316,0.105,1.0,1.0,1.0,0.0
OriginalDataset/Model10-10,0.939,0.818,1.0,0.182,0.562,0.562,0.562,0.0,0.8,0.8,0.8,0.0
OriginalDataset/Model10-1,0.381,0.286,0.429,0.143,0.381,0.286,0.429,0.143,0.75,0.75,0.75,0.0
